codigo,descricao,segmento
1065102,Fabricação de óleo de milho em bruto,Indústria
1065103,Fabricação de óleo de milho refinado,Indústria
1066000,Fabricação de alimentos para animais,Indústria
1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Indústria
1071600,Fabricação de açúcar em bruto,Indústria
1072401,Fabricação de açúcar de cana refinado,Indústria
1072402,Fabricação de açúcar de cereais (dextrose) e de beterraba,Indústria
1081301,Beneficiamento de café,Indústria
1081302,Torrefação e moagem de café,Indústria
1082100,Fabricação de produtos à base de café,Indústria
1091100,Fabricação de produtos de panificação,Indústria
1091101,Fabricação de produtos de panificação industrial,Indústria
1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Indústria
1092900,Fabricação de biscoitos e bolachas,Indústria
1093701,Fabricação de produtos derivados do cacau e de chocolates,Indústria
1093702,"Fabricação de frutas cristalizadas, balas e semelhantes",Indústria
1094500,Fabricação de massas alimentícias,Indústria
1095300,"Fabricação de especiarias, molhos, temperos e condimentos",Indústria
1096100,Fabricação de alimentos e pratos prontos,Indústria
1099601,Fabricação de vinagres,Indústria
1099602,Fabricação de pós alimentícios,Indústria
1099603,Fabricação de fermentos e leveduras,Indústria
1099604,Fabricação de gelo comum,Indústria
1099605,"Fabricação de produtos para infusão (chá, mate, etc.)",Indústria
1099606,Fabricação de adoçantes naturais e artificiais,Indústria
1099607,Fabricação de alimentos dietéticos e complementos alimentares,Indústria
1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,Indústria
1111901,Fabricação de aguardente de cana-de-açúcar,Indústria
1111902,Fabricação de outras aguardentes e bebidas destiladas,Indústria
1112700,Fabricação de vinho,Indústria
1113501,"Fabricação de malte, inclusive malte uísque",Indústria
1113502,Fabricação de cervejas e chopes,Indústria
1121600,Fabricação de águas envasadas,Indústria
1122401,Fabricação de refrigerantes,Indústria
1122402,Fabricação de chá mate e outros chás prontos para consumo,Indústria
1122403,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Indústria
1122404,Fabricação de bebidas isotônicas,Indústria
1122499,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,Indústria
1210700,Processamento industrial do fumo,Indústria
1220401,Fabricação de cigarros,Indústria
1220402,Fabricação de cigarrilhas e charutos,Indústria
1220403,Fabricação de filtros para cigarros,Indústria
1220499,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",Indústria
1311100,Preparação e fiação de fibras de algodão,Serviços
1312000,"Preparação e fiação de fibras têxteis naturais, exceto algodão",Serviços
1313800,Fiação de fibras artificiais e sintéticas,Outros
1314600,Fabricação de linhas para costurar e bordar,Indústria
1321900,Tecelagem de fios de algodão,Indústria
1322700,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",Indústria
1323500,Tecelagem de fios de fibras artificiais e sintéticas,Indústria
1330800,Fabricação de tecidos de malha,Indústria
1340501,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",Vestuário e Têxtil
1340502,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",Vestuário e Têxtil
1340599,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",Vestuário e Têxtil
1351100,Fabricação de artefatos têxteis para uso doméstico,Indústria
1352900,Fabricação de artefatos de tapeçaria,Indústria
1353700,Fabricação de artefatos de cordoaria,Indústria
1354500,"Fabricação de tecidos especiais, inclusive artefatos",Indústria
1359600,Fabricação de outros produtos têxteis não especificados anteriormente,Indústria
1411801,Confecção de roupas íntimas,Vestuário e Têxtil
1411802,Facção de roupas íntimas,Vestuário e Têxtil
1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",Vestuário e Têxtil
1412602,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Vestuário e Têxtil
1412603,"Facção de peças do vestuário, exceto roupas íntimas",Vestuário e Têxtil
1413401,"Confecção de roupas profissionais, exceto sob medida",Vestuário e Têxtil
1413402,"Confecção, sob medida, de roupas profissionais",Vestuário e Têxtil
1413403,Facção de roupas profissionais,Vestuário e Têxtil
1414200,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",Indústria
1421500,Fabricação de meias,Indústria
1422300,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",Vestuário e Têxtil
1510600,Curtimento e outras preparações de couro,Outros
1521100,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Indústria
1529700,Fabricação de artefatos de couro não especificados anteriormente,Indústria
1531901,Fabricação de calçados de couro,Indústria
1531902,Acabamento de calçados de couro sob contrato,Vestuário e Têxtil
1532700,Fabricação de tênis de qualquer material,Indústria
1533500,Fabricação de calçados de material sintético,Indústria
1539400,Fabricação de calçados de materiais não especificados anteriormente,Indústria
1540800,"Fabricação de partes para calçados, de qualquer material",Indústria
1610201,Serrarias com desdobramento de madeira,Construção
1610202,Serrarias sem desdobramento de madeira,Construção
1610203,Serrarias com desdobramento de madeira em bruto,Construção
1610204,Serrarias sem desdobramento de madeira em bruto  -Resserragem,Construção
1610205,Serviço de tratamento de madeira realizado sob contrato,Serviços
1621800,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Indústria
1622601,Fabricação de casas de madeira pré-fabricadas,Indústria
1622602,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,Indústria
1622699,Fabricação de outros artigos de carpintaria para construção,Indústria
1623400,Fabricação de artefatos de tanoaria e de embalagens de madeira,Indústria
1629301,"Fabricação de artefatos diversos de madeira, exceto móveis",Indústria
1629302,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",Indústria
1710900,Fabricação de celulose e outras pastas para a fabricação de papel,Indústria
1721400,Fabricação de papel,Indústria
1722200,Fabricação de cartolina e papel-cartão,Indústria
1731100,Fabricação de embalagens de papel,Indústria
1732000,Fabricação de embalagens de cartolina e papel-cartão,Indústria
1733800,Fabricação de chapas e de embalagens de papelão ondulado,Indústria
1741901,Fabricação de formulários contínuos,Indústria
1741902,"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",Indústria
1742701,Fabricação de fraldas descartáveis,Indústria
1742702,Fabricação de absorventes higiênicos,Indústria
1742799,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,Indústria
1749400,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",Indústria
1811301,Impressão de jornais,Editorial e Gráfica
1811302,"Impressão de livros, revistas e outras publicações periódicas",Editorial e Gráfica
1812100,Impressão de material de segurança,Editorial e Gráfica
1813001,Impressão de material para uso publicitário,Editorial e Gráfica
1813099,Impressão de material para outros usos,Editorial e Gráfica
1821100,Serviços de pré-impressão,Serviços
1822900,Serviços de acabamentos gráficos,Serviços
1822901,Serviços de encadernação e plastificação,Serviços
1822999,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",Serviços
1830001,Reprodução de som em qualquer suporte,Editorial e Gráfica
1830002,Reprodução de vídeo em qualquer suporte,Editorial e Gráfica
1830003,Reprodução de software em qualquer suporte,Editorial e Gráfica
1910100,Coquerias,Outros
1921700,Fabricação de produtos do refino de petróleo,Indústria
1922501,Formulação de combustíveis,Outros
1922502,Rerrefino de óleos lubrificantes,Indústria
1922599,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",Indústria
1931400,Fabricação de álcool,Indústria
1932200,"Fabricação de biocombustíveis, exceto álcool",Indústria
